KB article,Servicing option,Availability date,Build,OS Version
KB5040527,General Availability Channel,2024-07-25,22631.3958,Windows 11
KB5040442,General Availability Channel,2024-07-09,22631.3880,Windows 11
KB5039302,General Availability Channel,2024-06-25,22631.3810,Windows 11
KB5039212,General Availability Channel,2024-06-11,22631.3737,Windows 11
KB5037853,General Availability Channel,2024-05-29,22631.3672,Windows 11
KB5037771,General Availability Channel,2024-05-14,22631.3593,Windows 11
KB5036980,General Availability Channel,2024-04-23,22631.3527,Windows 11
KB5036893,General Availability Channel,2024-04-09,22631.3447,Windows 11
KB5035942,General Availability Channel,2024-03-26,22631.3374,Windows 11
KB5035853,General Availability Channel,2024-03-12,22631.3296,Windows 11
KB5034848,General Availability Channel,2024-02-29,22631.3235,Windows 11
KB5034765,General Availability Channel,2024-02-13,22631.3155,Windows 11
KB5034204,General Availability Channel,2024-01-23,22631.3085,Windows 11
KB5034123,General Availability Channel,2024-01-09,22631.3007,Windows 11
KB5033375,General Availability Channel,2023-12-12,22631.2861,Windows 11
KB5032288,General Availability Channel,2023-12-04,22631.2792,Windows 11
KB5032190,General Availability Channel,2023-11-14,22631.2715,Windows 11
KB5031455,General Availability Channel,2023-10-31,22631.2506,Windows 11
,General Availability Channel,2023-10-31,22631.2428,Windows 11
KB5062552,General Availability Channel,2025-07-08,22621.5624,Windows 11
KB5060826,General Availability Channel,2025-06-26,22621.5549,Windows 11
KB5060999,General Availability Channel,2025-06-10,22621.5472,Windows 11
KB5062170,General Availability Channel,2025-05-31,22621.5415,Windows 11
KB5058502,General Availability Channel,2025-05-27,22621.5413,Windows 11
KB5058405,General Availability Channel,2025-05-13,22621.5335,Windows 11
KB5055629,General Availability Channel,2025-04-22,22621.5262,Windows 11
KB5058919,General Availability Channel,2025-04-11,22621.5192,Windows 11
KB5055528,General Availability Channel,2025-04-08,22621.5189,Windows 11
KB5053657,General Availability Channel,2025-03-25,22621.5126,Windows 11
KB5053602,General Availability Channel,2025-03-11,22621.5039,Windows 11
KB5052094,General Availability Channel,2025-02-25,22621.4974,Windows 11
KB5051989,General Availability Channel,2025-02-11,22621.4890,Windows 11
KB5050092,General Availability Channel,2025-01-29,22621.4830,Windows 11
KB5050021,General Availability Channel,2025-01-14,22621.4751,Windows 11
KB5048685,General Availability Channel,2024-12-10,22621.4602,Windows 11
KB5046732,General Availability Channel,2024-11-21,22621.4541,Windows 11
KB5046633,General Availability Channel,2024-11-12,22621.4460,Windows 11
KB5044380,General Availability Channel,2024-10-22,22621.4391,Windows 11
KB5044285,General Availability Channel,2024-10-08,22621.4317,Windows 11
KB5043145,General Availability Channel,2024-09-26,22621.4249,Windows 11
KB5043076,General Availability Channel,2024-09-10,22621.4169,Windows 11
KB5041587,General Availability Channel,2024-08-27,22621.4112,Windows 11
KB5041585,General Availability Channel,2024-08-13,22621.4037,Windows 11
KB5040527,General Availability Channel,2024-07-25,22621.3958,Windows 11
KB5040442,General Availability Channel,2024-07-09,22621.3880,Windows 11
KB5039302,General Availability Channel,2024-06-25,22621.3810,Windows 11
KB5039212,General Availability Channel,2024-06-11,22621.3737,Windows 11
KB5037853,General Availability Channel,2024-05-29,22621.3672,Windows 11
KB5037771,General Availability Channel,2024-05-14,22621.3593,Windows 11
KB5036980,General Availability Channel,2024-04-23,22621.3527,Windows 11
KB5036893,General Availability Channel,2024-04-09,22621.3447,Windows 11
KB5035942,General Availability Channel,2024-03-26,22621.3374,Windows 11
KB5035853,General Availability Channel,2024-03-12,22621.3296,Windows 11
KB5034848,General Availability Channel,2024-02-29,22621.3235,Windows 11
KB5034765,General Availability Channel,2024-02-13,22621.3155,Windows 11
KB5034204,General Availability Channel,2024-01-23,22621.3085,Windows 11
KB5034123,General Availability Channel,2024-01-09,22621.3007,Windows 11
KB5033375,General Availability Channel,2023-12-12,22621.2861,Windows 11
KB5032288,General Availability Channel,2023-12-04,22621.2792,Windows 11
KB5032190,General Availability Channel,2023-11-14,22621.2715,Windows 11
KB5031455,General Availability Channel,2023-10-26,22621.2506,Windows 11
KB5031354,General Availability Channel,2023-10-10,22621.2428,Windows 11
KB5030310,General Availability Channel,2023-09-26,22621.2361,Windows 11
KB5030219,General Availability Channel,2023-09-12,22621.2283,Windows 11
KB5029351,General Availability Channel,2023-08-22,22621.2215,Windows 11
KB5029263,General Availability Channel,2023-08-08,22621.2134,Windows 11
KB5028254,General Availability Channel,2023-07-26,22621.2070,Windows 11
KB5028185,General Availability Channel,2023-07-11,22621.1992,Windows 11
KB5027303,General Availability Channel,2023-06-27,22621.1928,Windows 11
KB5027231,General Availability Channel,2023-06-13,22621.1848,Windows 11
KB5026446,General Availability Channel,2023-05-24,22621.1778,Windows 11
KB5026372,General Availability Channel,2023-05-09,22621.1702,Windows 11
KB5025305,General Availability Channel,2023-04-25,22621.1635,Windows 11
KB5025239,General Availability Channel,2023-04-11,22621.1555,Windows 11
KB5023778,General Availability Channel,2023-03-28,22621.1485,Windows 11
KB5023706,General Availability Channel,2023-03-14,22621.1413,Windows 11
KB5022913,General Availability Channel,2023-02-28,22621.1344,Windows 11
KB5022845,General Availability Channel,2023-02-14,22621.1265,Windows 11
KB5022360,General Availability Channel,2023-01-26,22621.1194,Windows 11
KB5022303,General Availability Channel,2023-01-10,22621.1105,Windows 11
KB5021255,General Availability Channel,2022-12-13,22621.963,Windows 11
KB5020044,General Availability Channel,2022-11-29,22621.900,Windows 11
KB5019980,General Availability Channel,2022-11-08,22621.819,Windows 11
KB5018496,General Availability Channel,2022-10-25,22621.755,Windows 11
KB5019509,General Availability Channel,2022-10-18,22621.675,Windows 11
KB5018427,General Availability Channel,2022-10-11,22621.674,Windows 11
KB5017389,General Availability Channel,2022-09-30,22621.608,Windows 11
KB5019311,General Availability Channel,2022-09-27,22621.525,Windows 11
,General Availability Channel,2022-09-20,22621.521,Windows 11
KB5044280,General Availability Channel,2024-10-08,22000.3260,Windows 11
KB5043067,General Availability Channel,2024-09-10,22000.3197,Windows 11
KB5041592,General Availability Channel,2024-08-13,22000.3147,Windows 11
KB5040431,General Availability Channel,2024-07-09,22000.3079,Windows 11
KB5039213,General Availability Channel,2024-06-11,22000.3019,Windows 11
KB5037770,General Availability Channel,2024-05-14,22000.2960,Windows 11
KB5036894,General Availability Channel,2024-04-09,22000.2899,Windows 11
KB5035854,General Availability Channel,2024-03-12,22000.2836,Windows 11
KB5034766,General Availability Channel,2024-02-13,22000.2777,Windows 11
KB5034121,General Availability Channel,2024-01-09,22000.2713,Windows 11
KB5033369,General Availability Channel,2023-12-12,22000.2652,Windows 11
KB5032192,General Availability Channel,2023-11-14,22000.2600,Windows 11
KB5031358,General Availability Channel,2023-10-10,22000.2538,Windows 11
KB5030301,General Availability Channel,2023-09-26,22000.2482,Windows 11
KB5030217,General Availability Channel,2023-09-12,22000.2416,Windows 11
KB5029332,General Availability Channel,2023-08-22,22000.2360,Windows 11
KB5029253,General Availability Channel,2023-08-08,22000.2295,Windows 11
KB5028245,General Availability Channel,2023-07-25,22000.2245,Windows 11
KB5028182,General Availability Channel,2023-07-11,22000.2176,Windows 11
KB5027292,General Availability Channel,2023-06-28,22000.2124,Windows 11
KB5027223,General Availability Channel,2023-06-13,22000.2057,Windows 11
KB5026436,General Availability Channel,2023-05-23,22000.2003,Windows 11
KB5026368,General Availability Channel,2023-05-09,22000.1936,Windows 11
KB5025298,General Availability Channel,2023-04-25,22000.1880,Windows 11
KB5025224,General Availability Channel,2023-04-11,22000.1817,Windows 11
KB5023774,General Availability Channel,2023-03-28,22000.1761,Windows 11
KB5023698,General Availability Channel,2023-03-14,22000.1696,Windows 11
KB5022905,General Availability Channel,2023-02-21,22000.1641,Windows 11
KB5022836,General Availability Channel,2023-02-14,22000.1574,Windows 11
KB5019274,General Availability Channel,2023-01-19,22000.1516,Windows 11
KB5022287,General Availability Channel,2023-01-10,22000.1455,Windows 11
KB5021234,General Availability Channel,2022-12-13,22000.1335,Windows 11
KB5019157,General Availability Channel,2022-11-15,22000.1281,Windows 11
KB5019961,General Availability Channel,2022-11-08,22000.1219,Windows 11
KB5018483,General Availability Channel,2022-10-25,22000.1165,Windows 11
KB5020387,General Availability Channel,2022-10-17,22000.1100,Windows 11
KB5018418,General Availability Channel,2022-10-11,22000.1098,Windows 11
KB5017383,General Availability Channel,2022-09-20,22000.1042,Windows 11
KB5017328,General Availability Channel,2022-09-13,22000.978,Windows 11
KB5016691,General Availability Channel,2022-08-25,22000.918,Windows 11
KB5016629,General Availability Channel,2022-08-09,22000.856,Windows 11
KB5015882,General Availability Channel,2022-07-21,22000.832,Windows 11
KB5015814,General Availability Channel,2022-07-12,22000.795,Windows 11
KB5014668,General Availability Channel,2022-06-23,22000.778,Windows 11
KB5016138,General Availability Channel,2022-06-20,22000.740,Windows 11
KB5014697,General Availability Channel,2022-06-14,22000.739,Windows 11
KB5014019,General Availability Channel,2022-05-24,22000.708,Windows 11
KB5013943,General Availability Channel,2022-05-10,22000.675,Windows 11
KB5012643,General Availability Channel,2022-04-25,22000.652,Windows 11
KB5012592,General Availability Channel,2022-04-12,22000.613,Windows 11
KB5011563,General Availability Channel,2022-03-28,22000.593,Windows 11
KB5011493,General Availability Channel,2022-03-08,22000.556,Windows 11
KB5010414,General Availability Channel,2022-02-15,22000.527,Windows 11
KB5010386,General Availability Channel,2022-02-08,22000.493,Windows 11
KB5008353,General Availability Channel,2022-01-25,22000.469,Windows 11
KB5010795,General Availability Channel,2022-01-17,22000.438,Windows 11
KB5009566,General Availability Channel,2022-01-11,22000.434,Windows 11
KB5008215,General Availability Channel,2021-12-14,22000.376,Windows 11
KB5007262,General Availability Channel,2021-11-22,22000.348,Windows 11
KB5007215,General Availability Channel,2021-11-09,22000.318,Windows 11
KB5006746,General Availability Channel,2021-10-21,22000.282,Windows 11
KB5006674,General Availability Channel,2021-10-12,22000.258,Windows 11
,General Availability Channel,2021-10-04,22000.194,Windows 11
KB5062649,General Availability Channel,2025-07-22,19045.6159,Windows 10
KB5062554,General Availability Channel,2025-07-08,19045.6093,Windows 10
KB5061087,General Availability Channel,2025-06-24,19045.6036,Windows 10
KB5063159,General Availability Channel,2025-06-16,19045.5968,Windows 10
KB5060533,General Availability Channel,2025-06-10,19045.5965,Windows 10
KB5058481,General Availability Channel,2025-05-28,19045.5917,Windows 10
KB5061979,General Availability Channel,2025-05-27,19045.5859,Windows 10
KB5061768,General Availability Channel,2025-05-19,19045.5856,Windows 10
KB5058379,General Availability Channel,2025-05-13,19045.5854,Windows 10
KB5055612,General Availability Channel,2025-04-22,19045.5796,Windows 10
KB5055518,General Availability Channel,2025-04-08,19045.5737,Windows 10
KB5053643,General Availability Channel,2025-03-25,19045.5679,Windows 10
KB5053606,General Availability Channel,2025-03-11,19045.5608,Windows 10
KB5052077,General Availability Channel,2025-02-25,19045.5555,Windows 10
KB5051974,General Availability Channel,2025-02-11,19045.5487,Windows 10
KB5050081,General Availability Channel,2025-01-28,19045.5440,Windows 10
KB5049981,General Availability Channel,2025-01-14,19045.5371,Windows 10
KB5048652,General Availability Channel,2024-12-10,19045.5247,Windows 10
KB5046714,General Availability Channel,2024-11-21,19045.5198,Windows 10
KB5046613,General Availability Channel,2024-11-12,19045.5131,Windows 10
KB5045594,General Availability Channel,2024-10-22,19045.5073,Windows 10
KB5044273,General Availability Channel,2024-10-08,19045.5011,Windows 10
KB5043131,General Availability Channel,2024-09-24,19045.4957,Windows 10
KB5043064,General Availability Channel,2024-09-10,19045.4894,Windows 10
KB5041582,General Availability Channel,2024-08-29,19045.4842,Windows 10
KB5041580,General Availability Channel,2024-08-13,19045.4780,Windows 10
KB5040525,General Availability Channel,2024-07-23,19045.4717,Windows 10
KB5040427,General Availability Channel,2024-07-09,19045.4651,Windows 10
KB5039299,General Availability Channel,2024-06-25,19045.4598,Windows 10
KB5039211,General Availability Channel,2024-06-11,19045.4529,Windows 10
KB5037849,General Availability Channel,2024-05-29,19045.4474,Windows 10
KB5037768,General Availability Channel,2024-05-14,19045.4412,Windows 10
KB5036979,General Availability Channel,2024-04-23,19045.4355,Windows 10
KB5036892,General Availability Channel,2024-04-09,19045.4291,Windows 10
KB5035941,General Availability Channel,2024-03-26,19045.4239,Windows 10
KB5035845,General Availability Channel,2024-03-12,19045.4170,Windows 10
KB5034843,General Availability Channel,2024-02-29,19045.4123,Windows 10
KB5034763,General Availability Channel,2024-02-13,19045.4046,Windows 10
KB5034203,General Availability Channel,2024-01-23,19045.3996,Windows 10
KB5034122,General Availability Channel,2024-01-09,19045.3930,Windows 10
KB5033372,General Availability Channel,2023-12-12,19045.3803,Windows 10
KB5032278,General Availability Channel,2023-11-30,19045.3758,Windows 10
KB5032189,General Availability Channel,2023-11-14,19045.3693,Windows 10
KB5031445,General Availability Channel,2023-10-26,19045.3636,Windows 10
KB5031356,General Availability Channel,2023-10-10,19045.3570,Windows 10
KB5030300,General Availability Channel,2023-09-26,19045.3516,Windows 10
KB5030211,General Availability Channel,2023-09-12,19045.3448,Windows 10
KB5029331,General Availability Channel,2023-08-22,19045.3393,Windows 10
KB5029244,General Availability Channel,2023-08-08,19045.3324,Windows 10
KB5028244,General Availability Channel,2023-07-25,19045.3271,Windows 10
KB5028166,General Availability Channel,2023-07-11,19045.3208,Windows 10
KB5027293,General Availability Channel,2023-06-27,19045.3155,Windows 10
KB5027215,General Availability Channel,2023-06-13,19045.3086,Windows 10
KB5026435,General Availability Channel,2023-05-23,19045.3031,Windows 10
KB5026361,General Availability Channel,2023-05-09,19045.2965,Windows 10
KB5025297,General Availability Channel,2023-04-25,19045.2913,Windows 10
KB5025221,General Availability Channel,2023-04-11,19045.2846,Windows 10
KB5023773,General Availability Channel,2023-03-21,19045.2788,Windows 10
KB5023696,General Availability Channel,2023-03-14,19045.2728,Windows 10
KB5022906,General Availability Channel,2023-02-21,19045.2673,Windows 10
KB5022834,General Availability Channel,2023-02-14,19045.2604,Windows 10
KB5019275,General Availability Channel,2023-01-19,19045.2546,Windows 10
KB5022282,General Availability Channel,2023-01-10,19045.2486,Windows 10
KB5021233,General Availability Channel,2022-12-13,19045.2364,Windows 10
KB5020030,General Availability Channel,2022-11-15,19045.2311,Windows 10
KB5019959,General Availability Channel,2022-11-08,19045.2251,Windows 10
,General Availability Channel,2022-10-18,19045.2130,Windows 10
KB5062554,LTSC,2025-07-08,19044.6093,Windows 10
KB5060533,LTSC,2025-06-10,19044.5965,Windows 10
KB5061979,LTSC,2025-05-27,19044.5859,Windows 10
KB5061768,LTSC,2025-05-19,19044.5856,Windows 10
KB5058379,LTSC,2025-05-13,19044.5854,Windows 10
KB5055518,LTSC,2025-04-08,19044.5737,Windows 10
KB5053606,LTSC,2025-03-11,19044.5608,Windows 10
KB5051974,LTSC,2025-02-11,19044.5487,Windows 10
KB5049981,LTSC,2025-01-14,19044.5371,Windows 10
KB5048652,LTSC,2024-12-10,19044.5247,Windows 10
KB5046613,LTSC,2024-11-12,19044.5131,Windows 10
KB5044273,LTSC,2024-10-08,19044.5011,Windows 10
KB5043064,LTSC,2024-09-10,19044.4894,Windows 10
KB5041580,LTSC,2024-08-13,19044.4780,Windows 10
KB5040427,LTSC,2024-07-09,19044.4651,Windows 10
KB5039211,LTSC  •  General Availability Channel,2024-06-11,19044.4529,Windows 10
KB5037768,LTSC  •  General Availability Channel,2024-05-14,19044.4412,Windows 10
KB5036892,LTSC  •  General Availability Channel,2024-04-09,19044.4291,Windows 10
KB5035845,LTSC  •  General Availability Channel,2024-03-12,19044.4170,Windows 10
KB5034763,LTSC  •  General Availability Channel,2024-02-13,19044.4046,Windows 10
KB5034122,LTSC  •  General Availability Channel,2024-01-09,19044.3930,Windows 10
KB5033372,LTSC  •  General Availability Channel,2023-12-12,19044.3803,Windows 10
KB5032189,LTSC  •  General Availability Channel,2023-11-14,19044.3693,Windows 10
KB5031356,LTSC  •  General Availability Channel,2023-10-10,19044.3570,Windows 10
KB5030211,LTSC  •  General Availability Channel,2023-09-12,19044.3448,Windows 10
KB5029244,LTSC  •  General Availability Channel,2023-08-08,19044.3324,Windows 10
KB5028166,LTSC  •  General Availability Channel,2023-07-11,19044.3208,Windows 10
KB5027215,LTSC  •  General Availability Channel,2023-06-13,19044.3086,Windows 10
KB5026361,LTSC  •  General Availability Channel,2023-05-09,19044.2965,Windows 10
KB5025221,LTSC  •  General Availability Channel,2023-04-11,19044.2846,Windows 10
KB5023773,LTSC  •  General Availability Channel,2023-03-21,19044.2788,Windows 10
KB5023696,LTSC  •  General Availability Channel,2023-03-14,19044.2728,Windows 10
KB5022906,LTSC  •  General Availability Channel,2023-02-21,19044.2673,Windows 10
KB5022834,LTSC  •  General Availability Channel,2023-02-14,19044.2604,Windows 10
KB5019275,LTSC  •  General Availability Channel,2023-01-19,19044.2546,Windows 10
KB5022282,LTSC  •  General Availability Channel,2023-01-10,19044.2486,Windows 10
KB5021233,LTSC  •  General Availability Channel,2022-12-13,19044.2364,Windows 10
KB5020030,LTSC  •  General Availability Channel,2022-11-15,19044.2311,Windows 10
KB5019959,LTSC  •  General Availability Channel,2022-11-08,19044.2251,Windows 10
KB5020953,LTSC  •  General Availability Channel,2022-10-28,19044.2194,Windows 10
KB5018482,LTSC  •  General Availability Channel,2022-10-25,19044.2193,Windows 10
KB5020435,LTSC  •  General Availability Channel,2022-10-17,19044.2132,Windows 10
KB5018410,LTSC  •  General Availability Channel,2022-10-11,19044.2130,Windows 10
KB5017380,LTSC  •  General Availability Channel,2022-09-20,19044.2075,Windows 10
KB5017308,LTSC  •  General Availability Channel,2022-09-13,19044.2006,Windows 10
KB5016688,LTSC  •  General Availability Channel,2022-08-26,19044.1949,Windows 10
KB5016616,LTSC  •  General Availability Channel,2022-08-09,19044.1889,Windows 10
KB5015878,LTSC  •  General Availability Channel,2022-07-26,19044.1865,Windows 10
KB5015807,LTSC  •  General Availability Channel,2022-07-12,19044.1826,Windows 10
KB5014666,LTSC  •  General Availability Channel,2022-06-28,19044.1806,Windows 10
KB5016139,LTSC  •  General Availability Channel,2022-06-20,19044.1767,Windows 10
KB5014699,LTSC  •  General Availability Channel,2022-06-14,19044.1766,Windows 10
KB5014023,LTSC  •  General Availability Channel,2022-06-02,19044.1741,Windows 10
KB5015020,LTSC  •  General Availability Channel,2022-05-19,19044.1708,Windows 10
KB5013942,LTSC  •  General Availability Channel,2022-05-10,19044.1706,Windows 10
KB5011831,LTSC  •  General Availability Channel,2022-04-25,19044.1682,Windows 10
KB5012599,LTSC  •  General Availability Channel,2022-04-12,19044.1645,Windows 10
KB5011543,LTSC  •  General Availability Channel,2022-03-22,19044.1620,Windows 10
KB5011487,LTSC  •  General Availability Channel,2022-03-08,19044.1586,Windows 10
KB5010415,LTSC  •  General Availability Channel,2022-02-15,19044.1566,Windows 10
KB5010342,LTSC  •  General Availability Channel,2022-02-08,19044.1526,Windows 10
KB5009596,LTSC  •  General Availability Channel,2022-01-25,19044.1503,Windows 10
KB5010793,LTSC  •  General Availability Channel,2022-01-17,19044.1469,Windows 10
KB5009543,LTSC  •  General Availability Channel,2022-01-11,19044.1466,Windows 10
KB5008212,LTSC  •  General Availability Channel,2021-12-14,19044.1415,Windows 10
KB5007253,LTSC  •  General Availability Channel,2021-11-22,19044.1387,Windows 10
,LTSC  •  General Availability Channel,2021-11-16,19044.1288,Windows 10
KB5021233,Semi-Annual Channel,2022-12-13,19043.2364,Windows 10
KB5020030,Semi-Annual Channel,2022-11-15,19043.2311,Windows 10
KB5019959,Semi-Annual Channel,2022-11-08,19043.2251,Windows 10
KB5020953,Semi-Annual Channel,2022-10-28,19043.2194,Windows 10
KB5018482,Semi-Annual Channel,2022-10-25,19043.2193,Windows 10
KB5020435,Semi-Annual Channel,2022-10-17,19043.2132,Windows 10
KB5018410,Semi-Annual Channel,2022-10-11,19043.2130,Windows 10
KB5017380,Semi-Annual Channel,2022-09-20,19043.2075,Windows 10
KB5017308,Semi-Annual Channel,2022-09-13,19043.2006,Windows 10
KB5016688,Semi-Annual Channel,2022-08-26,19043.1949,Windows 10
KB5016616,Semi-Annual Channel,2022-08-09,19043.1889,Windows 10
KB5015878,Semi-Annual Channel,2022-07-26,19043.1865,Windows 10
KB5015807,Semi-Annual Channel,2022-07-12,19043.1826,Windows 10
KB5014666,Semi-Annual Channel,2022-06-28,19043.1806,Windows 10
KB5016139,Semi-Annual Channel,2022-06-20,19043.1767,Windows 10
KB5014699,Semi-Annual Channel,2022-06-14,19043.1766,Windows 10
KB5014023,Semi-Annual Channel,2022-06-02,19043.1741,Windows 10
KB5015020,Semi-Annual Channel,2022-05-19,19043.1708,Windows 10
KB5013942,Semi-Annual Channel,2022-05-10,19043.1706,Windows 10
KB5011831,Semi-Annual Channel,2022-04-25,19043.1682,Windows 10
KB5012599,Semi-Annual Channel,2022-04-12,19043.1645,Windows 10
KB5011543,Semi-Annual Channel,2022-03-22,19043.1620,Windows 10
KB5011487,Semi-Annual Channel,2022-03-08,19043.1586,Windows 10
KB5010415,Semi-Annual Channel,2022-02-15,19043.1566,Windows 10
KB5010342,Semi-Annual Channel,2022-02-08,19043.1526,Windows 10
KB5009596,Semi-Annual Channel,2022-01-25,19043.1503,Windows 10
KB5010793,Semi-Annual Channel,2022-01-17,19043.1469,Windows 10
KB5009543,Semi-Annual Channel,2022-01-11,19043.1466,Windows 10
KB5008212,Semi-Annual Channel,2021-12-14,19043.1415,Windows 10
KB5007253,Semi-Annual Channel,2021-11-22,19043.1387,Windows 10
KB5007186,Semi-Annual Channel,2021-11-09,19043.1348,Windows 10
KB5006738,Semi-Annual Channel,2021-10-26,19043.1320,Windows 10
KB5006670,Semi-Annual Channel,2021-10-12,19043.1288,Windows 10
KB5005611,Semi-Annual Channel,2021-09-30,19043.1266,Windows 10
KB5005565,Semi-Annual Channel,2021-09-14,19043.1237,Windows 10
KB5005101,Semi-Annual Channel,2021-09-01,19043.1202,Windows 10
KB5005033,Semi-Annual Channel,2021-08-10,19043.1165,Windows 10
KB5004296,Semi-Annual Channel,2021-07-29,19043.1151,Windows 10
KB5004237,Semi-Annual Channel,2021-07-13,19043.1110,Windows 10
KB5004945,Semi-Annual Channel,2021-07-06,19043.1083,Windows 10
KB5004760,Semi-Annual Channel,2021-06-29,19043.1082,Windows 10
KB5003690,Semi-Annual Channel,2021-06-21,19043.1081,Windows 10
KB5004476,Semi-Annual Channel,2021-06-11,19043.1055,Windows 10
KB5003637,Semi-Annual Channel,2021-06-08,19043.1052,Windows 10
KB5003214,Semi-Annual Channel,2021-05-25,19043.1023,Windows 10
KB5003173,Semi-Annual Channel,2021-05-18,19043.985,Windows 10
KB5026361,Semi-Annual Channel,2023-05-09,19042.2965,Windows 10
KB5025221,Semi-Annual Channel,2023-04-11,19042.2846,Windows 10
KB5023773,Semi-Annual Channel,2023-03-21,19042.2788,Windows 10
KB5023696,Semi-Annual Channel,2023-03-14,19042.2728,Windows 10
KB5022906,Semi-Annual Channel,2023-02-21,19042.2673,Windows 10
KB5022834,Semi-Annual Channel,2023-02-14,19042.2604,Windows 10
KB5019275,Semi-Annual Channel,2023-01-19,19042.2546,Windows 10
KB5022282,Semi-Annual Channel,2023-01-10,19042.2486,Windows 10
KB5021233,Semi-Annual Channel,2022-12-13,19042.2364,Windows 10
KB5020030,Semi-Annual Channel,2022-11-15,19042.2311,Windows 10
KB5019959,Semi-Annual Channel,2022-11-08,19042.2251,Windows 10
KB5020953,Semi-Annual Channel,2022-10-28,19042.2194,Windows 10
KB5018482,Semi-Annual Channel,2022-10-25,19042.2193,Windows 10
KB5020435,Semi-Annual Channel,2022-10-17,19042.2132,Windows 10
KB5018410,Semi-Annual Channel,2022-10-11,19042.2130,Windows 10
KB5017380,Semi-Annual Channel,2022-09-20,19042.2075,Windows 10
KB5017308,Semi-Annual Channel,2022-09-13,19042.2006,Windows 10
KB5016688,Semi-Annual Channel,2022-08-26,19042.1949,Windows 10
KB5016616,Semi-Annual Channel,2022-08-09,19042.1889,Windows 10
KB5015878,Semi-Annual Channel,2022-07-26,19042.1865,Windows 10
KB5015807,Semi-Annual Channel,2022-07-12,19042.1826,Windows 10
KB5014666,Semi-Annual Channel,2022-06-28,19042.1806,Windows 10
KB5016139,Semi-Annual Channel,2022-06-20,19042.1767,Windows 10
